"","logFC","logCPM","PValue","FDR"
"YHR215W",4.75041555814487,7.47366892959347,0,0
"YML123C",4.61687123530307,9.00493823859312,0,0
"YER011W",3.94205356051621,6.91853751543739,0,0
"YGR234W",3.86487014952613,7.8560225989834,0,0
"YER081W",-3.38104400671325,9.27003629956777,0,0
"YDR077W",3.33446842607143,11.4865769848569,0,0
"YMR120C",3.25898118759898,8.26329035663867,0,0
"YKR080W",3.1761432400672,7.57882956644912,0,0
"YDR033W",3.12069902045395,8.25832616738936,0,0
"YDR342C",2.97021107178497,11.0551622383717,0,0
"YIL169C",2.93493505533299,7.45194675747159,0,0
"YFR015C",2.84261269906386,9.20241690744266,0,0
"YLR058C",2.69618082218702,8.87828915917412,0,0
"YER138C",2.38941998385379,9.78156765851883,0,0
"YCL030C",2.38751879664348,8.77564489754021,0,0
"YPR160W",2.25636187601121,8.25286149204656,0,0
"YBR067C",2.18653223513243,8.26518898849088,0,0
"YOR153W",2.01636953299568,9.26718562026436,0,0
"YHR092C",2.00132468705517,9.8170960544485,0,0
"YLR258W",1.98027284932118,8.76608022224782,0,0
"YER067W",1.92551928556102,8.73428858632613,0,0
"YFR053C",1.54042841208738,10.2094024886014,0,0
"YLL026W",1.46505033839686,9.61984434637374,0,0
"R0040C",-1.24832406582979,9.99846144843654,0,0
"YHR174W",1.08100220483494,13.975445051778,0,0
"YJL052W",1.06421387220821,10.4263520485297,0,0
"YPL061W",1.05645440772669,10.738341635733,0,0
"YAL038W",1.00690172956125,13.2443406939388,0,0
"YOR383C",-0.763245994827496,11.4135112664992,0,0
"YDL229W",0.721336646248871,11.331624536022,0,0
"YGR192C",0.646913047344242,14.743928491546,0,0
"YOL086C",0.57251724133925,14.2643004553601,0,0
"YLR044C",0.556483901788012,13.6322833120722,0,0
"YJL159W",0.547506336083455,12.1238225384208,0,0
"R0020C",-1.10868643979616,10.1865337123984,3.13443941277054e-317,5.29899371412414e-315
"YOL155C",2.09306457692745,8.00139062619226,7.51727891284817e-314,1.23554831464797e-311
"YOR374W",-0.88443883921877,10.5038785431436,6.31811927811516e-308,1.01038680455696e-305
"YDR365W-B",2.04221946088751,10.0518978457247,6.40627171847961e-299,9.97523941006417e-297
"YGL234W",1.42225769768354,8.81468848047411,2.77803427503644e-291,4.21477661676682e-289
"YGL008C",0.627933102228282,11.271992271125,6.41718074466652e-289,9.49261461654796e-287
"YPR145W",1.33988111544201,9.32965954969256,2.2951281198863e-283,3.31226172813835e-281
"YOR128C",1.98706523023617,7.9634538866287,3.70562659701988e-274,5.22052204156348e-272
"YCL025C",2.09876589674293,7.75921084750547,7.3410860767811e-269,1.01016758875148e-266
"YEL040W",1.38415870263263,8.77962064158842,3.34883282878203e-267,4.50341905634165e-265
"R0010W",-1.11015381187647,10.2166942131636,9.25369452930759e-263,1.21675801177584e-260
"YHR219W",-1.07630328800123,9.74000830778633,4.9184756990658e-262,6.32665667638529e-260
"YKR075C",-1.28132659956966,9.42938395554753,5.7250074725359e-261,7.20741898191381e-259
"YLR154W-C",0.937083492648355,10.1607738114337,1.03352620776739e-255,1.27403636903326e-253
"YEL071W",-1.52091523029618,8.94794738385566,1.49094045821615e-254,1.80038667168673e-252
"YAL005C",1.11906011602988,10.4357217979074,6.71977346666123e-248,7.9521799204469e-246
"R0030W",-1.23925377720358,9.26942873763779,2.84639801890329e-245,3.30237981918643e-243
"YOL109W",2.27665286204905,7.85662157573925,4.58342879540528e-245,5.21541311200251e-243
"YLR327C",1.86538457424098,8.2028580016028,3.25083159514505e-243,3.62927746197608e-241
"YMR173W",1.36063220957234,8.83827792689461,4.044747373256e-242,4.4319944828807e-240
"YAL061W",2.22215827268775,7.43859252711399,2.02012635683357e-239,2.17328866425168e-237
"YMR008C",1.87775947060988,7.88903510137817,8.74932441354769e-239,9.24459867052888e-237
"YCR005C",-2.42571995438884,7.97300798800528,2.62543913742857e-228,2.72539006599384e-226
"YKL152C",0.326045633889344,12.9459583665068,1.32939593495366e-227,1.35621305984841e-225
"YDR345C",0.535396074632342,11.6490977722463,3.19326408164509e-223,3.20246501204983e-221
"YMR105C",1.19345207909849,8.89966928676997,4.40486533929804e-218,4.34393136877108e-216
"YIL053W",-0.615542752218143,11.2254179581562,1.73291211082875e-216,1.68092474750388e-214
"YBL003C",-1.22364267465678,9.087585425717,4.0529471427371e-210,3.86794971670571e-208
"YAR009C",2.710046543893,8.87873823034494,1.39250765039964e-207,1.30785202657376e-205
"YOR290C",9.39428802312008,5.91261812957602,2.32713074371589e-198,2.15150509540108e-196
"YPR036W-A",-1.34875831387137,9.01668340550597,3.28390850924056e-196,2.98936717679637e-194
"YDR524W-C",-2.08888127879585,7.87602661473172,7.59605423594455e-194,6.80997771425513e-192
"YNL031C",-1.02837201182422,9.69844137037428,1.22925977815252e-191,1.08560150855649e-189
"YBR010W",-1.34438099485582,9.11397396422246,7.51347406449319e-191,6.53782735876562e-189
"YDL022W",1.23875430438037,8.76530283427491,4.53748717698948e-185,3.89105965597779e-183
"YCL040W",0.468764858760378,11.421439843946,1.05670061090302e-177,8.93213930673312e-176
"YAR015W",1.63886427977353,7.84783789988405,1.26642109615695e-177,1.05541036985361e-175
"YOL158C",1.76662005725619,7.64979936113128,2.8137349377201e-175,2.31234300367914e-173
"YPR035W",0.50613509052782,11.1491802003513,2.35201179671944e-173,1.90641832892999e-171
"YPR149W",1.70867850474612,8.00871479555308,1.31236517226275e-170,1.0493600978755e-168
"YBR011C",-0.695961898448497,10.2660368628309,5.04165062839311e-166,3.97752623576027e-164
"YLR350W",-1.12471205321065,8.96700436387048,1.25187850581878e-165,9.7465330512233e-164
"YOL016C",1.2838234742825,8.56040615091982,2.75009888327579e-164,2.11329027173283e-162
"YNL160W",2.3745597447798,6.87669072398755,4.79726016366958e-163,3.6391523574914e-161
"YBR296C",3.41073219804854,6.55641030412828,2.55412956789071e-157,1.91301071559612e-155
"YNL208W",0.662246831239796,10.1480673068438,1.52175904638362e-152,1.12553103468149e-150
"YER056C",1.44837575005861,8.04284777234864,3.80513848727992e-152,2.7796301764488e-150
"YBR196C",0.610245060914092,11.0133749780053,1.18865040405701e-150,8.57712736683574e-149
"YLL024C",0.605086655193351,10.797623756737,2.80230471842587e-149,1.99773939987059e-147
"YGR061C",1.07952435182432,8.89297497275052,1.18206981910668e-148,8.32655609482649e-147
